term,indicator,glossed_as,page,pre_context,post_context
gen,of,hij de inspektie vande artillerij,#+ NL-HaNA_1.04.02_10045_0599.xml,om hiem te vraa„,"hij de inspektie vande artillerij komp: welde komen doen, die"
„ren,of,ook waar in het vermoeden,#+ NL-HaNA_1.04.02_10045_0604.xml,"gouvernement, wanneer ze despeu„","ook waar in het vermoeden komen, dat het gouvernement, waer„"
gebragt,of,"bedreeven, ende mis„ „dadige oogmerken,",#+ NL-HaNA_1.04.02_10045_0605.xml,hebben ter uit„ voer,"bedreeven, ende mis„ „dadige oogmerken, waarmede ze ge„ „pleegd sijn,"
verraad,of,Mal versatie/ het geen god,#+ NL-HaNA_1.04.02_10045_0607.xml,"mogten waken, aan hoog",Mal versatie/ het geen god verhoede zal de hoo„ „ge
onderrigten,of,en in hoe verre sulke,#+ NL-HaNA_1.04.02_10045_0607.xml,"te versoeken, ons tewillen","en in hoe verre sulke en diergelijke stappen, en insonderheijt"
verraad,of,wal ver„ „satie waar van,#+ NL-HaNA_1.04.02_10045_0607.xml,gereekend te zijn hoog,wal ver„ „satie waar van bij het voorschreeve 22. art:
dingen,of,"ook geene derselve, daar toe",#+ NL-HaNA_1.04.02_10045_0608.xml,Hoog deselven alle dese,"ook geene derselve, daar toe niet nog. te hooren ons"
toebrengen,of,daar aan de di„ sobedient,#+ NL-HaNA_1.04.02_10045_0609.xml,de min„ ste kinder,daar aan de di„ sobedient zijn Het is ook niet
uitgevoerd,of,"bedreeven, wij is niet temin",#+ NL-HaNA_1.04.02_10045_0609.xml,niet souden heb„ „ben,"bedreeven, wij is niet temin bij de voorsz: sententie vande"
verstaan,of,liever naar wat reegel we,#+ NL-HaNA_1.04.02_10045_0609.xml,boe we dat moeten,liever naar wat reegel we ons in desen voor den
aanstellen,of,bevorde„ „ven van officieren even,#+ NL-HaNA_1.04.02_10045_0610.xml,gouver„ vement bij het,bevorde„ „ven van officieren even dat selfde aan de Rommandacrt
verraad,of,iets waar door eenige publicque,#+ NL-HaNA_1.04.02_10045_0613.xml,"van eenige voorgenoemen conseperatie,",iets waar door eenige publicque schade of perikel soude het
schade,of,perikel soude het dadelijk sal,#+ NL-HaNA_1.04.02_10045_0613.xml,waar door eenige publicque,perikel soude het dadelijk sal kunnen onstaan moeten bekend maeken
tegeeven,of,het niet door het geheele,#+ NL-HaNA_1.04.02_10045_0614.xml,behoorden nedrig in overweeging,het niet door het geheele militaire wee„ „sen op cijlon
en,of,insonderheid 't korps officieren sig,#+ NL-HaNA_1.04.02_10045_0615.xml,"sulken ratuur als deese,",insonderheid 't korps officieren sig niet soude kunnen en mogen
Bevindings,of,Rendementen Van de in Anno,#+ NL-HaNA_1.04.02_10045_0632.xml,„Jaer 1786/7: Twee Kopia,Rendementen Van de in Anno Passato afgeloopene Pagoods en fanums
Bieren,of,onderpalmen voor Ceilon. „ Rapport,#+ NL-HaNA_1.04.02_10045_0654.xml,de spint Vervol. -,onderpalmen voor Ceilon. „ Rapport en opgaeve van even gem:
kannen,of,4. stoop zijnde tezaemen 200,#+ NL-HaNA_1.04.02_10045_0656.xml,kruijken ider inhoudende 8.,4. stoop zijnde tezaemen 200 voor de Mallebaar. volg: factuur
31.,ofte,- - - - -,#+ NL-HaNA_1.04.02_10045_0656.xml,1. halve dem stoop,- - - - - k: „ Rapp:t in 1.
120.,ofte,k: 6: . . „,#+ NL-HaNA_1.04.02_10045_0662.xml,— Riem: „ boek:,k: 6: . . „ 18. — Verte - -
Zijlplaeten,of,Palmetten idem „ Rapport van,#+ NL-HaNA_1.04.02_10045_0664.xml,Leeden „ 25 —,Palmetten idem „ Rapport van E: Justitieele Leeden evengem: -
dan,of,en somtijds bij de ter,#+ NL-HaNA_1.04.02_10045_0670.xml,den 13. febr: 1767.,en somtijds bij de ter dier tijd ingekoomene: adviesen nog
even,of,"het Cabo de goede Hoop,",#+ NL-HaNA_1.04.02_10045_0671.xml,"dit schip laaten proviandeeren,","het Cabo de goede Hoop, noch S:t Helena zoude aen"
doen,of,"het zomtijds mogte gebeuren, dat",#+ NL-HaNA_1.04.02_10045_0671.xml,S:t Helena zoude aen,"het zomtijds mogte gebeuren, dat het zelve geen van bij"
dubbeld,of,tot de heen en terug,#+ NL-HaNA_1.04.02_10046_0019.xml,wel voor de laaste,tot de heen en terug rijs. §. 8. Jnsgelijks gaat
doen,of,"telaaten doen, hoe genaamd; doch",#+ NL-HaNA_1.04.02_10046_0029.xml,geene rapporten behoeven te,"telaaten doen, hoe genaamd; doch dat het uijt de voorschaelve"
doen,of,naar maate van de omstandigheeden,#+ NL-HaNA_1.04.02_10046_0034.xml,en Chef zoude moeten,"naar maate van de omstandigheeden laaten doen, alle zoodaanige rapporten,"
eene,of,"andere zijde, eeniege onzeekerheid scheen",#+ NL-HaNA_1.04.02_10046_0036.xml,niet altoos aan de,"andere zijde, eeniege onzeekerheid scheen overteblyven hebben we daarom, en"
fiskaal,of,eigent: „lijk het officium fiscer,#+ NL-HaNA_1.04.02_10046_0038.xml,"de belangen, die onse",eigent: „lijk het officium fiscer bij den verderen loop deezer
neemen,of,"wij deselve acquiesceeren kunnen, dan",#+ NL-HaNA_1.04.02_10046_0040.xml,een positief besluijt te,"wij deselve acquiesceeren kunnen, dan wel noodig achten teegen deselve"
hoofd,offe,"cieren, — en het ordonneeren",#+ NL-HaNA_1.04.02_10046_0041.xml,arresteeren van de fransen,"cieren, — en het ordonneeren van de procedures tegen deselven,"
„voerd,of,men te bespeurde nu naded,#+ NL-HaNA_1.04.02_10046_0046.xml,zoo daa niet uijtge„,men te bespeurde nu naded op eene wijse die te
op,of,linnen tot wat prijs het,#+ NL-HaNA_1.04.02_10046_0048.xml,gezonden om een partyj,"linnen tot wat prijs het ook zyn mogte, het geen"
als,of,men het gouvernement opent„ „lijk,#+ NL-HaNA_1.04.02_10046_0048.xml,met een publicke tijd,"men het gouvernement opent„ „lijk uijtdaagde; zo zeer, dat men"
kogel,of,schroot bussen van de regiments,#+ NL-HaNA_1.04.02_10046_0048.xml,"laaten vraagen, de blikke","schroot bussen van de regiments stukken, die reess den Hoog"
gevraagd,of,"hij aan zijn huijs, weijl",#+ NL-HaNA_1.04.02_10046_0061.xml,Enfers terselver gelee„ gentheid,"hij aan zijn huijs, weijl men geene kogel foamen konde"
bossen,of,druijve tehaalen en aan de,#+ NL-HaNA_1.04.02_10046_0062.xml,"heeft, om de schroot","druijve tehaalen en aan de artillerie wagt te brengen, en"
22.,of,23 augustus daar tevooren gelast,#+ NL-HaNA_1.04.02_10046_0064.xml,#+ ---,23 augustus daar tevooren gelast heeft om kogel en pattroonen
gevraagt,of,hij reeds kogels gemaakt had!,#+ NL-HaNA_1.04.02_10046_0064.xml,nog verscheide maalen had,"hij reeds kogels gemaakt had! en ten laasten, op zijn"
vraagen,of,#+ --- #+ ---,#+ NL-HaNA_1.04.02_10046_0064.xml,die tweemaalen was koomen,#+ ---
2.,of,de koegels nog niet klaar,#+ NL-HaNA_1.04.02_10046_0065.xml,1787. bieren van N:o:,"de koegels nog niet klaar waaren. gesegt had, om volgens"
haalen,of,'t lood in lingots te,#+ NL-HaNA_1.04.02_10046_0066.xml,"had, om bamboeten te",'t lood in lingots te snijden. §56. En kaptein Finiels
tetdens,of,het op zijne vader was,#+ NL-HaNA_1.04.02_10046_0073.xml,"laaten brengen, met afvraage",het op zijne vader was geschied! en dat hy D:
gevraagd,of,de kanons hier beeter waaren,#+ NL-HaNA_1.04.02_10046_0073.xml,"t' hebben, finiels had","de kanons hier beeter waaren dan op de ander plaats,"
vraagen,of,hij de inspektie van de,#+ NL-HaNA_1.04.02_10046_0079.xml,"begeeven, om hem te","hij de inspektie van de Aatillerie komp milde koomen doen,"
bespeuren,of,ook maar in 't vermoedige,#+ NL-HaNA_1.04.02_10046_0085.xml,"het gouvernement, wanneer te","ook maar in 't vermoedige koomen, dat het gouvernement maat."
„bragt,of,"bedreeven, en de misdadiege oogmerken",#+ NL-HaNA_1.04.02_10046_0087.xml,hebben ter uijtvoer ge„,"bedreeven, en de misdadiege oogmerken waarmeede ze gepleegd zijn, zijn"
zommiege,offe,Ceeden zig schuldig mogten maeken,#+ NL-HaNA_1.04.02_10046_0089.xml,van deese kapitulatie zoo,Ceeden zig schuldig mogten maeken aan Hoog verraad of Malvertatie
verraad,of,Malvertatie /het geen god verhoede,#+ NL-HaNA_1.04.02_10046_0089.xml,mogten maeken aan Hoog,Malvertatie /het geen god verhoede / zal de hooge Regeering
onderrigten,of,en in hoe verde zulke,#+ NL-HaNA_1.04.02_10046_0090.xml,"ver„ „soeken, ons tewillen","en in hoe verde zulke en diergelijke stappen, en insonderheid"
verraad,of,Mal „vertatie waar van bij,#+ NL-HaNA_1.04.02_10046_0090.xml,reekend te zyn Hoog,Mal „vertatie waar van bij het voorsz 28: Art=l van
dingen,of,"ook geene derselve, daar toe",#+ NL-HaNA_1.04.02_10046_0091.xml,N:o: 2: alle deese,"ook geene derselve, daar toe niet mogten behooren ons dan"
toebrengen,of,daar aan Desobidient zijn. 589.,#+ NL-HaNA_1.04.02_10046_0092.xml,aan de uijtvoering hinder,daar aan Desobidient zijn. 589. Het is ook niet moogelyk
uijtgevoerd,of,bedreeven wij „van den achtb:,#+ NL-HaNA_1.04.02_10046_0092.xml,dirgen niet zouden hebben,bedreeven wij „van den achtb: raad van Justitie min by
verstaan,of,leever naar wat regel we,#+ NL-HaNA_1.04.02_10046_0093.xml,hoe we dat moeten,leever naar wat regel we ons in deesen voor den
aanstelling,of,bevorderen van officieren van dat,#+ NL-HaNA_1.04.02_10046_0093.xml,de gouverneur bij het,bevorderen van officieren van dat zelfde aan den kommandant van
verraad,of,"iets, waar door eeniege publicque",#+ NL-HaNA_1.04.02_10046_0098.xml,eeniege voorge„ nomene Conspiratie,"iets, waar door eeniege publicque schade of perikel zoude kunne"
schade,of,"perikel zoude kunne ontstaan, 't",#+ NL-HaNA_1.04.02_10046_0098.xml,waar door eeniege publicque,"perikel zoude kunne ontstaan, 't daadelijk zal moeten bekend maken"
on,of,het niet voor 't Geheele,#+ NL-HaNA_1.04.02_10046_0099.xml,nederig in vernegeng tegeeven,het niet voor 't Geheele militaire weesen op Ceelm zou
en,of,"insoorkeid het koups officeeren, dig",#+ NL-HaNA_1.04.02_10046_0099.xml,een natuur als deese,"insoorkeid het koups officeeren, dig niet zoude kunnen en mogen"
eer,of,naauwgezetheid belee „digt te vinden.,#+ NL-HaNA_1.04.02_10046_0124.xml,zonder mij in mijn,naauwgezetheid belee „digt te vinden. Jk heb de eer met
ven,of,"te wijgeren had, en dat",#+ NL-HaNA_1.04.02_10046_0126.xml,geen toestemming te gee,"te wijgeren had, en dat hij 'er alleen het regt"
vernist,of,"ik, als kapitijn van een",#+ NL-HaNA_1.04.02_10046_0126.xml,alle menschen van gezond,"ik, als kapitijn van een kont: niet #+ ---"
een,of,"meer kinderen heeft gehad, die",#+ NL-HaNA_1.04.02_10046_0127.xml,"openbra„ te hoer, die","meer kinderen heeft gehad, die bij verscheidene officieren van het"
zes,of,agt dragen lang gekamert is,#+ NL-HaNA_1.04.02_10046_0127.xml,officieren van het gaainzoon,"agt dragen lang gekamert is geweest, zonder ier uijt tekoomen,"
vernieuwingen,of,"benoemingen van officieren hoegenaamt, uijt",#+ NL-HaNA_1.04.02_10046_0130.xml,zen protesteere tegen alle,"benoemingen van officieren hoegenaamt, uijt gezondert die van sieur Thiller"
gehad,of,meenen te hebben. Tis hondert,#+ NL-HaNA_1.04.02_10046_0131.xml,zoort van regt toe,"meenen te hebben. Tis hondert teegen een te werden, dat"
nieuwingen,of,"veranderingen bij het Re giment,",#+ NL-HaNA_1.04.02_10046_0132.xml,aankante teegen alle ver,"veranderingen bij het Re giment, voornamentlijk bij de Colonels Compagnie,"
Europa,of,Bata„ via; teegen de aanstelling,#+ NL-HaNA_1.04.02_10046_0132.xml,lonel met orders van,Bata„ via; teegen de aanstelling van eenig an- der officier
dienst,of,teegen iets daar toe betaelkelijk;,#+ NL-HaNA_1.04.02_10046_0142.xml,een fout teegen den,teegen iets daar toe betaelkelijk; maar weil #+ ---
Delmillac,of,van het detachement dat daar,#+ NL-HaNA_1.04.02_10046_0145.xml,vertrek van De heer,van het detachement dat daar toe heeft aanleiding gegeeven en
niet,of,de vrouw van Bet= „temon,#+ NL-HaNA_1.04.02_10046_0146.xml,beleedigt word Ik weet,de vrouw van Bet= „temon voor haar trouwen eenige buitenspoorigheeden
zeggen,of,schoon zelfs zij nog on=,#+ NL-HaNA_1.04.02_10046_0147.xml,geoorloft zijn zulx te,"schoon zelfs zij nog on= „gehuuwd was, des te minder"
drie,of,vier dui„ „zend rijksdaalders doet,#+ NL-HaNA_1.04.02_10046_0148.xml,op een besitting van,vier dui„ „zend rijksdaalders doet hoopen. Jk zoude hier eenige
twee,of,"meer de menschen, ter bestemder",#+ NL-HaNA_1.04.02_10046_0149.xml,"een uitdraging, gedaan door","meer de menschen, ter bestemder uur en teid, om een"
twist,of,verschil waaruit en de drift,#+ NL-HaNA_1.04.02_10046_0149.xml,niet aldus met een,verschil waaruit en de drift een gevegt ontstaat; dit geval
weise,of,#+ --- #+ ---,#+ NL-HaNA_1.04.02_10046_0152.xml,op zulk een onbetamelijke,#+ ---
aanbetrouwt,of,#+ --- #+ ---,#+ NL-HaNA_1.04.02_10046_0154.xml,ik hem dezelve niet,#+ ---
crat,of,weeder ontnoomen hebben. Aldus mis-,#+ NL-HaNA_1.04.02_10046_0155.xml,#+ --- No. 2.,weeder ontnoomen hebben. Aldus mis- „bruikt hij mijne goedheeden om
Delmillac,of,de heer de La roche,#+ NL-HaNA_1.04.02_10046_0158.xml,had om de heer,de heer de La roche aan te stellen zondere verdere
beleedigen,ofte,"„ beschempen, bij pane van",#+ NL-HaNA_1.04.02_10046_0167.xml,"zouden kunnen beschaamt maaken,","„ beschempen, bij pane van afgezet en „ onbequaam verklaart"
misdadige,of,een oneerlijk man en mij,#+ NL-HaNA_1.04.02_10046_0173.xml,alle Natien als een,een oneerlijk man en mij eijndelijk met schaamte en eerloosheijt
vonnis,of,besluijt teegen mij genoomen den,#+ NL-HaNA_1.04.02_10046_0177.xml,te gedraagen aan het,besluijt teegen mij genoomen den 21:e van dezelve maand door
vonnis,ofte,"besluijt, van de gevoelens der",#+ NL-HaNA_1.04.02_10046_0177.xml,gegeeven Copij van het,"besluijt, van de gevoelens der Raadsheeren ofte uijtleggers der ordonnantien"
Raadsheeren,ofte,uijtleggers der ordonnantien en militaire,#+ NL-HaNA_1.04.02_10046_0177.xml,van de gevoelens der,"uijtleggers der ordonnantien en militaire wetboeken, geschriften ofte andere stukken"
geschriften,ofte,andere stukken van het proces,#+ NL-HaNA_1.04.02_10046_0177.xml,"ordonnantien en militaire wetboeken,",andere stukken van het proces teegen mij aangegaan en buijten
heb,of,heb willen ont-eeren; mijn verzoek,#+ NL-HaNA_1.04.02_10046_0178.xml,voorgeeft dat ik beleedigt,heb willen ont-eeren; mijn verzoek om een Certificaat van Leevens-
vonnis,ofte,besluijt van den Raad van,#+ NL-HaNA_1.04.02_10046_0178.xml,protestatie teegens het uijtgesprooken,besluijt van den Raad van Colombo; dat ik appel „leere
ik,of,eene al te vrije wijze,#+ NL-HaNA_1.04.02_10046_0182.xml,verzonden &: om dat,"eene al te vrije wijze aan de Regeering heb geschreeven,"
besluit,of,"vonnis, en verzoeken, dat wijl",#+ NL-HaNA_1.04.02_10046_0182.xml,bij deezen teegen gemeld,"vonnis, en verzoeken, dat wijl de Raad van Batavia hooger"
misdaad,of,schandelijk bedrijf begaan hebbende een,#+ NL-HaNA_1.04.02_10046_0183.xml,d' Edele Comp: nooijt,"schandelijk bedrijf begaan hebbende een Certificaat van Levenswijze, ge„ „drag"
wijnige,of,geene daar van in voorraed,#+ NL-HaNA_1.04.02_10046_0224.xml,bij de Equipagie alhier,"geene daar van in voorraed leggen, waar op goedge¬ vonden"
nige,of,geene daar van in voorraed,#+ NL-HaNA_1.04.02_10046_0224.xml,bij de Equipagie wij„,geene daar van in voorraed leggen Aldus geresolveerd in de
en,of,daarmeede de rijse naar 't,#+ NL-HaNA_1.04.02_10046_0232.xml,de gesteldheid daar van,daarmeede de rijse naar 't vaderland zal konnen onderneemen en
Java,of,voor de Examinatie on„ nden,#+ NL-HaNA_1.04.02_10046_0241.xml,lading van het schip,"voor de Examinatie on„ nden en verstaan papier, wijl een"
Java,of,voor de Examinatie on„ onden,#+ NL-HaNA_1.04.02_10046_0245.xml,lading van het schip,"voor de Examinatie on„ onden en verstaan papier, wijl een"
geene,of,weijnig ijzer¬ „trossen per Restand,#+ NL-HaNA_1.04.02_10046_0252.xml,dewijl bij Equipagie alhier,weijnig ijzer¬ „trossen per Restand zijnde om gedagte voor raad
riem,of,240: vellen dus over„ eenkomstig,#+ NL-HaNA_1.04.02_10046_0261.xml,van inhoud een half,240: vellen dus over„ eenkomstig den inhoud van alle de
vellen,of,1. 1/20. riem Fransch reekend,#+ NL-HaNA_1.04.02_10046_0261.xml,dit papier zijn 372:,"1. 1/20. riem Fransch reekend 13/40. riem, Holl:s aan de"
revier,of,ballast steenen Dit is binnen,#+ NL-HaNA_1.04.02_10046_0262.xml,bimasch sapanhout 50000. „,ballast steenen Dit is binnen boord verbleeven en moet naar
weeten,of,deeze voor pallia „katta geprofecteerde,#+ NL-HaNA_1.04.02_10046_0264.xml,de ondergetekende te moogen,deeze voor pallia „katta geprofecteerde kas mooge geopend werden om
behoefte,of,den voorraad van 't schip,#+ NL-HaNA_1.04.02_10046_0264.xml,aangereekend is uijt de,den voorraad van 't schip In 't Equipagie Pakhuijs 1.
Europa,of,op Batavia niet ter deegen,#+ NL-HaNA_1.04.02_10046_0265.xml,en bij afpakking in,op Batavia niet ter deegen droog moet geweest hebben de
kassen,of,kisten want den teekenaar heeft,#+ NL-HaNA_1.04.02_10046_0265.xml,het indroo„ „gen der,"kisten want den teekenaar heeft bij ondervinding, dat kisten heeft"
sneeda,of,scheua in de buijtenste Embala„,#+ NL-HaNA_1.04.02_10046_0265.xml,"was het enkel, een",scheua in de buijtenste Embala„ „gie en voor het overige
pingos,ofte,165. 2. manden kortskoolen tot,#+ NL-HaNA_1.04.02_10046_0267.xml,door hem ingekogte 331.,165. 2. manden kortskoolen tot het repareeren en aanmaeken van
baanders,of,sinders - - - -,#+ NL-HaNA_1.04.02_10046_0267.xml,— 40. –. „,sinders - - - - — 6. - flessen Lijnolie
da„,of,'er somtijds bij de ter,#+ NL-HaNA_1.04.02_10046_0282.xml,"13:' februarij 1763. ,",'er somtijds bij de ter dier tijd ingekomene advieren nog
Hoop,of,het Eijland C=t Helena temogen,#+ NL-HaNA_1.04.02_10046_0282.xml,de Caab. de Goede,"het Eijland C=t Helena temogen aendoen, en om in het"
even,of,het Cabo - - de,#+ NL-HaNA_1.04.02_10046_0283.xml,"dit schip laeten proviandeeren,","het Cabo - - de Goede Hoop, noch s=t Helena,"
priesten.,off,"het somtijds mogte gebeuren, dat",#+ NL-HaNA_1.04.02_10046_0283.xml,zoude aendoen om een,"het somtijds mogte gebeuren, dat 't selve geen van beide"
„,of,'t schip benoorden om of,#+ NL-HaNA_1.04.02_10046_0283.xml,we ook onbepaeld gelaeten,'t schip benoorden om of door het Canael moet steevenen
om,of,door het Canael moet steevenen,#+ NL-HaNA_1.04.02_10046_0283.xml,of 't schip benoorden,door het Canael moet steevenen en Zellman tot maer de
min,of,meer veertien ropijen de 150,#+ NL-HaNA_1.04.02_10046_0289.xml,"zoorten door malkanderen, tegens","meer veertien ropijen de 150 lb:, naar dat men 't"
achtb:,of,deeze beide wijnen zodanig zullen,#+ NL-HaNA_1.04.02_10046_0301.xml,van uwel Edele Groot,"deeze beide wijnen zodanig zullen geaksepteerd wor- den, en wie"
gebleeven,of,wel bij de ont¬ lossing,#+ NL-HaNA_1.04.02_10046_0302.xml,van 't schip moesten,wel bij de ont¬ lossing op Colombo moetten abzent genaekt
behoefte,of,den voorraed van 't Europer,#+ NL-HaNA_1.04.02_10046_0306.xml,onderdaag in't uit de,den voorraed van 't Europer schip 2 a 8 #+
regiement,of,ten minsten de helfte daar,#+ NL-HaNA_1.04.02_10046_0307.xml,de betaaling van het,"ten minsten de helfte daar van, mag geschie„ den in"
min,of,"meer vijftig pagooden begrooten, voor",#+ NL-HaNA_1.04.02_10046_0314.xml,in 't geheel op,"meer vijftig pagooden begrooten, voor reek: van de Comp:e te"
lb:,of,"tezamen 6193½. lb: rijst, de",#+ NL-HaNA_1.04.02_10046_0319.xml,reekende spillagie van 193½.,"tezamen 6193½. lb: rijst, de kamer Amsteldam tegens den marktsprijs"
voortvaaren,of,"niet, naar dat de Ti",#+ NL-HaNA_1.04.02_10046_0321.xml,dat werk te laaten,"niet, naar dat de Ti tijds omstandigheden het hem zullen"
ingang,of,het front van gemelde woning,#+ NL-HaNA_1.04.02_10046_0322.xml,#+ --- Moet de,het front van gemelde woning dat aan de Noord zijde
kommissie,of,"zoo dat niet geschieden kan,",#+ NL-HaNA_1.04.02_10046_0341.xml,het opperhoofd door een,"zoo dat niet geschieden kan, door een brief „ reeden"
Ceilon,of,"na Cochim, na dat hun",#+ NL-HaNA_1.04.02_10046_0342.xml,te mogen begeeven: na,"na Cochim, na dat hun dat best zal geleegen zijn,"
een,of,"twee posten te doen besetten,",#+ NL-HaNA_1.04.02_10046_0344.xml,"na maaten hunner sterkte,","twee posten te doen besetten, die het best aan dezelve"
als,of,hy het doed uit zig,#+ NL-HaNA_1.04.02_10046_0346.xml,"verhoogen mits het geschied,","hy het doed uit zig zelven, en op de nadere"
aangehouden,of,'t Soerats schip nog mogte,#+ NL-HaNA_1.04.02_10046_0351.xml,schip Java eenige dagen,"'t Soerats schip nog mogte komen opdragen, maar wijl het"
Hoop,of,'t Eiland S:t Helend aan,#+ NL-HaNA_1.04.02_10046_0352.xml,de Caab de goede,"'t Eiland S:t Helend aan te doen, en we hebben"
even,of,het de Caab noch St.,#+ NL-HaNA_1.04.02_10046_0352.xml,"dien bodem laaten vetualieeren,","het de Caab noch St. Helena zoude dangieren, of 't"
dangieren,of,"'t somtijds ge„ beuren mogte,",#+ NL-HaNA_1.04.02_10046_0352.xml,noch St. Helena zoude,"'t somtijds ge„ beuren mogte, dat het bijde de plaatsen"
om,of,"door 't kannaal te steevenen,",#+ NL-HaNA_1.04.02_10046_0352.xml,"gelaaten, om benoor„ den","door 't kannaal te steevenen, met last om zich daar"
min,of,"meer 1500: boelen kanneel, en",#+ NL-HaNA_1.04.02_10047_0029.xml,"elk schip be„ stemd,","meer 1500: boelen kanneel, en zoo veel pakken sourat„ „sche"
holligheid,of,leedige ruijm te zonder dat,#+ NL-HaNA_1.04.02_10047_0035.xml,"deezer 5. kisten, eene",leedige ruijm te zonder dat nogtans de matten „ die
boord,of,hier aan de wal te,#+ NL-HaNA_1.04.02_10047_0037.xml,quaede behandeling aan scheeps,"hier aan de wal te onder„ stellen, en inzonderheid niets,"
wijl,of,"schoon onze Chi= rurgijn Majoor,",#+ NL-HaNA_1.04.02_10047_0057.xml,"Majoor de Mar„ reval,","schoon onze Chi= rurgijn Majoor, die bij zijne aenstelling ƒ"
origineel,of,duplikaat niet mogte te regt,#+ NL-HaNA_1.04.02_10047_0066.xml,"„den geaccordeert, indien 't",duplikaat niet mogte te regt koomen. wij #+ ---
droogten,of,"iets anders ontmoet heeft, en",#+ NL-HaNA_1.04.02_10047_0078.xml,"rijse geen onbekende landen,","iets anders ontmoet heeft, en dat alle de victualie, hem"
maand,of,"vroeger, maar laaten gestorven zijnde,",#+ NL-HaNA_1.04.02_10047_0092.xml,den 20. van de,"vroeger, maar laaten gestorven zijnde, is de betaa„ ling gedaan,"
afreekening,of,"aftrek van wisselgeld, en dat",#+ NL-HaNA_1.04.02_10047_0095.xml,"zoort van afkorting, van","aftrek van wisselgeld, en dat derhalven de ducaton, als de"
ordre,of,"erven gepasseerd, naar Batavia overgemaakt",#+ NL-HaNA_1.04.02_10047_0126.xml,Johannes Heu„ „singa vendumeester,"erven gepasseerd, naar Batavia overgemaakt had, ten eijnde van daar,"
ordre,of,"erven, ten eijnde dat bedraagen",#+ NL-HaNA_1.04.02_10047_0126.xml,„gaart vroedschap te Delft,"erven, ten eijnde dat bedraagen van de Edele Agtb: Heeren"
al-,off,"descen„ „denten spreekt, maar wel",#+ NL-HaNA_1.04.02_10047_0127.xml,het geheel van geene,"descen„ „denten spreekt, maar wel van eene suster, aan wien"
rechten,of,daar buijten aan iemand permit„,#+ NL-HaNA_1.04.02_10047_0127.xml,"bekragtigd, geen dubio in","daar buijten aan iemand permit„ „teerd, alzo de rationis decidende"
uitgekeerd,of,zodanig „ge dispositie dien aangaande,#+ NL-HaNA_1.04.02_10047_0128.xml,wel hier moge worde,"zodanig „ge dispositie dien aangaande temaaken, als het hoogst dezelve"
opmakinge,of,mislijdende beveelende alvoo„ rens hunne,#+ NL-HaNA_1.04.02_10047_0129.xml,eigen gemoed zonder iemands,mislijdende beveelende alvoo„ rens hunne onsterffelijke zielen in de genadige
tezaemen,of,ieder afzon„ derlijk zouden hebben,#+ NL-HaNA_1.04.02_10047_0129.xml,komparanten voor dato deezes,"ieder afzon„ derlijk zouden hebben gemaekt, niet willende nog begeerende"
dezelven,of,eenige van dien in eenig,#+ NL-HaNA_1.04.02_10047_0129.xml,willende nog begeerende dat,eenige van dien in eenig poinkt gevolgd ofte nagekomen zullen
gevolgd,ofte,nagekomen zullen worden. Ende van,#+ NL-HaNA_1.04.02_10047_0129.xml,dien in eenig poinkt,nagekomen zullen worden. Ende van nieuws disponee„ rende verklaerden de
zijne,ofte,haere eenige en algeheele erfgenaemen,#+ NL-HaNA_1.04.02_10047_0129.xml,nomineeren en institueeren tot,haere eenige en algeheele erfgenaemen ofte erfgenaeme in alle goede¬
erfgenaemen,ofte,erfgenaeme in alle goede¬ den,#+ NL-HaNA_1.04.02_10047_0129.xml,haere eenige en algeheele,"erfgenaeme in alle goede¬ den doeaende ofte onroerende, geene uijtgenoomen,"
doeaende,ofte,"onroerende, geene uijtgenoomen, die de",#+ NL-HaNA_1.04.02_10047_0129.xml,in alle goede¬ den,"onroerende, geene uijtgenoomen, die de eerststervende door de dood ontruijmen"
dage,ofte,eenige ge„ approbeerde staet gekoomen,#+ NL-HaNA_1.04.02_10047_0129.xml,optevoeden en tot mondigen,eenige ge„ approbeerde staet gekoomen zijnde aen haer uijtte„ keeren
kind,of,kinderen en tot exekuteur van,#+ NL-HaNA_1.04.02_10047_0130.xml,voogd over min derjarige,kinderen en tot exekuteur van deezen testamente met zodanig magt
toekomt,ofte,kan„ geeven worden met de,#+ NL-HaNA_1.04.02_10047_0130.xml,en gezag als dezelve,kan„ geeven worden met de magt meede van assumpsie en
leegen,ofte,minderjaerigen mogten woonagtig zijn eenelijk,#+ NL-HaNA_1.04.02_10047_0130.xml,te vallen goederen ge„,minderjaerigen mogten woonagtig zijn eenelijk verzoekt de testateur de Edele
beide,of,door een van hun onderteekend,#+ NL-HaNA_1.04.02_10047_0130.xml,bij eenig onderhands door,door een van hun onderteekend papier zodanige veran„ dering en
legaet,ofte,zoo als het best en,#+ NL-HaNA_1.04.02_10047_0131.xml,zij als testament Codicil,zoo als het best en bondigst na regten zal kunnen
ordre,of,erven specialijk; om aldaar van,#+ NL-HaNA_1.04.02_10047_0137.xml,"„ja vendumeester te Batavia,",erven specialijk; om aldaar van den wel Edelen gestr: Groot
die,of,Erve tezaamen ofte ieder in,#+ NL-HaNA_1.04.02_10047_0138.xml,"vroedschap te Delft, or„","Erve tezaamen ofte ieder in het bezonder, dewelke de komparan„"
